Country,Human development index (HDI) 2018,Life expectancy at birth 2018,Expected years of schooling 2018,Mean years of schooling 2018,Gross national income (GNI) per capita 2018
Montenegro,0.816,76.8,15,11.4,"17,511"
Romania,0.816,75.9,14.3,11,"23,906"
Palau,0.814,73.7,15.6,12.4,"16,720"
Barbados,0.813,79.1,15.2,10.6,"15,912"
Kuwait,0.808,75.4,13.8,7.3,"71,164"
Uruguay,0.808,77.8,16.3,8.7,"19,435"
Turkey,0.806,77.4,16.4,7.7,"24,905"
Bahamas,0.805,73.8,12.8,11.5,"28,395"
Malaysia,0.804,76,13.5,10.2,"27,227"
Seychelles,0.801,73.3,15.5,9.7,"25,077"
Serbia,0.799,75.8,14.8,11.2,"15,218"
Trinidad and Tobago,0.799,73.4,13,11,"28,497"
Iran,0.797,76.5,14.7,10,"18,166"
Mauritius,0.796,74.9,15,9.4,"22,724"
Panama,0.795,78.3,12.9,10.2,"20,455"
Costa Rica,0.794,80.1,15.4,8.7,"14,790"
Albania,0.791,78.5,15.2,10.1,"12,300"
Georgia,0.786,73.6,15.4,12.8,"9,570"
Sri Lanka,0.78,76.8,14,11.1,"11,611"
Cuba,0.778,78.7,14.4,11.8,"7,811"
Saint Kitts and Nevis,0.777,74.6,13.6,8.5,"26,770"
Antigua and Barbuda,0.776,76.9,12.5,9.3,"22,201"
Bosnia and Herzegovina,0.769,77.3,13.8,9.7,"12,690"
Mexico,0.767,75,14.3,8.6,"17,628"
Thailand,0.765,76.9,14.7,7.7,"16,129"
Grenada,0.763,72.4,16.6,8.8,"12,684"
Brazil,0.761,75.7,15.4,7.8,"14,068"
Colombia,0.761,77.1,14.6,8.3,"12,896"
Armenia,0.76,74.9,13.2,11.8,"9,277"
Algeria,0.759,76.7,14.7,8,"13,639"
North Macedonia,0.759,75.7,13.5,9.7,"12,874"
Peru,0.759,76.5,13.8,9.2,"12,323"
China,0.758,76.7,13.9,7.9,"16,127"
Ecuador,0.758,76.8,14.9,9,"10,141"
Azerbaijan,0.754,72.9,12.4,10.5,"15,240"
Ukraine,0.75,72,15.1,11.3,"7,994"
Dominican Republic,0.745,73.9,14.1,7.9,"15,074"
Saint Lucia,0.745,76.1,13.9,8.5,"11,528"
Tunisia,0.739,76.5,15.1,7.2,"10,677"
Mongolia,0.735,69.7,14.2,10.2,"10,784"
Lebanon,0.73,78.9,11.3,8.7,"11,136"
Botswana,0.728,69.3,12.7,9.3,"15,951"
Saint Vincent and the Grenadines,0.728,72.4,13.6,8.6,"11,746"
Jamaica,0.726,74.4,13.1,9.8,"7,932"
Venezuela,0.726,72.1,12.8,10.3,"9,070"
Dominica,0.724,78.1,13,7.8,"9,245"
Fiji,0.724,67.3,14.4,10.9,"9,110"
Paraguay,0.724,74.1,12.7,8.5,"11,720"
Suriname,0.724,71.6,12.9,9.1,"11,933"
Jordan,0.723,74.4,11.9,10.5,"8,268"
Belize,0.72,74.5,13.1,9.8,"7,136"
Maldives,0.719,78.6,12.1,6.8,"12,549"
Tonga,0.717,70.8,14.3,11.2,"5,783"
Philippines,0.712,71.1,12.7,9.4,"9,540"
Moldova,0.711,71.8,11.6,11.6,"6,833"
Turkmenistan,0.71,68.1,10.9,9.8,"16,407"
Uzbekistan,0.71,71.6,12,11.5,"6,462"
Libya,0.708,72.7,12.8,7.6,"11,685"
Indonesia,0.707,71.5,12.9,8,"11,256"
Samoa,0.707,73.2,12.5,10.6,"5,885"
South Africa,0.705,63.9,13.7,10.2,"11,756"
Bolivia,0.703,71.2,14,9,"6,849"
Gabon,0.702,66.2,12.9,8.3,"15,794"
Egypt,0.7,71.8,13.1,7.3,"10,744"
Marshall Islands,0.698,73.9,12.4,10.9,"4,633"
Vietnam,0.693,75.3,12.7,8.2,"6,220"
"Palestine, State of",0.69,73.9,12.8,9.1,"5,314"
Iraq,0.689,70.5,11.1,7.3,"15,365"
Morocco,0.676,76.5,13.1,5.5,"7,480"
Kyrgyzstan,0.674,71.3,13.4,10.9,"3,317"
Guyana,0.67,69.8,11.5,8.5,"7,615"
El Salvador,0.667,73.1,12,6.9,"6,973"
Tajikistan,0.656,70.9,11.4,10.7,"3,482"
Cabo Verde,0.651,72.8,11.9,6.2,"6,513"
Guatemala,0.651,74.1,10.6,6.5,"7,378"
Nicaragua,0.651,74.3,12.2,6.8,"4,790"
India,0.647,69.4,12.3,6.5,"6,829"
Namibia,0.645,63.4,12.6,6.9,"9,683"
Timor-Leste,0.626,69.3,12.4,4.5,"7,527"
Honduras,0.623,75.1,10.2,6.6,"4,258"
Kiribati,0.623,68.1,11.8,7.9,"3,917"
Bhutan,0.617,71.5,12.1,3.1,"8,609"
Bangladesh,0.614,72.3,11.2,6.1,"4,057"
Micronesia (Federated States of),0.614,67.8,11.5,7.7,"3,700"
Sao Tome and Principe,0.609,70.2,12.7,6.4,"3,024"
Congo,0.608,64.3,11.6,6.5,"5,804"
Eswatini (Kingdom of),0.608,59.4,11.4,6.7,"9,359"
Lao People's Democratic Republic,0.604,67.6,11.1,5.2,"6,317"
Vanuatu,0.597,70.3,11.4,6.8,"2,808"
Ghana,0.596,63.8,11.5,7.2,"4,099"
Zambia,0.591,63.5,12.1,7.1,"3,582"
Equatorial Guinea,0.588,58.4,9.2,5.6,"17,796"
Myanmar,0.584,66.9,10.3,5,"5,764"
Cambodia,0.581,69.6,11.3,4.8,"3,597"
Kenya,0.579,66.3,11.1,6.6,"3,052"
Nepal,0.579,70.5,12.2,4.9,"2,748"
Angola,0.574,60.8,11.8,5.1,"5,555"
Cameroon,0.563,58.9,12.7,6.3,"3,291"
Zimbabwe,0.563,61.2,10.5,8.3,"2,661"
Pakistan,0.56,67.1,8.5,5.2,"5,190"
Solomon Islands,0.557,72.8,10.2,5.5,"2,027"
Syrian Arab Republic,0.549,71.8,8.9,5.1,"2,725"
Papua New Guinea,0.543,64.3,10,4.6,"3,686"
Comoros,0.538,64.1,11.2,4.9,"2,426"
Rwanda,0.536,68.7,11.2,4.4,"1,959"
Nigeria,0.534,54.3,9.7,6.5,"5,086"
Tanzania,0.528,65,8,6,"2,805"
Uganda,0.528,63,11.2,6.1,"1,752"
Mauritania,0.527,64.7,8.5,4.6,"3,746"
Madagascar,0.521,66.7,10.4,6.1,"1,404"
Benin,0.52,61.5,12.6,3.8,"2,135"
Lesotho,0.518,53.7,10.7,6.3,"3,244"
Côte d'Ivoire,0.516,57.4,9.6,5.2,"3,589"
Senegal,0.514,67.7,9,3.1,"3,256"
Togo,0.513,60.8,12.6,4.9,"1,593"
Sudan,0.507,65.1,7.7,3.7,"3,962"
Haiti,0.503,63.7,9.5,5.4,"1,665"
Afghanistan,0.496,64.5,10.1,3.9,"1,746"
Djibouti,0.495,66.6,6.5,4,"3,601"
Malawi,0.485,63.8,11,4.6,"1,159"
Ethiopia,0.47,66.2,8.7,2.8,"1,782"
Gambia,0.466,61.7,9.5,3.7,"1,490"
Guinea,0.466,61.2,9,2.7,"2,211"
Liberia,0.465,63.7,9.6,4.7,"1,040"
Yemen,0.463,66.1,8.7,3.2,"1,433"
Guinea-Bissau,0.461,58,10.5,3.3,"1,593"
Congo (Brazzaville),0.459,60.4,9.7,6.8,800
Congo (Kinshasa),0.459,60.4,9.7,6.8,800
Mozambique,0.446,60.2,9.7,3.5,"1,154"
Sierra Leone,0.438,54.3,10.2,3.6,"1,381"
Burkina Faso,0.434,61.2,8.9,1.6,"1,705"
Eritrea,0.434,65.9,5,3.9,"1,708"
Mali,0.427,58.9,7.6,2.4,"1,965"
Burundi,0.423,61.2,11.3,3.1,660
South Sudan,0.413,57.6,5,4.8,"1,455"
Chad,0.401,54,7.5,2.4,"1,716"
Central African Republic,0.381,52.8,7.6,4.3,777
Niger,0.377,62,6.5,2,912
